"","delay","n","mean","sd","min","max","IQR","Browser","Measurement"
"1",100,550,102.816363636364,0.714732715619818,102,108,1,"Open Sesame",NA
"2",500,550,502.078181818182,0.268701871000901,502,503,0,"Open Sesame",NA
"3",100,550,107.42,2.07508421493906,100,115,1,"Chrome","minno"
"4",100,550,109.46170909091,1.22812305401365,100.315000000061,115.434999999998,0.0249999999650754,"Chrome","vanilla"
"5",500,550,505.025454545455,2.22244045956035,500,515,1,"Chrome","minno"
"6",500,550,513.530299999998,4.70185844268962,500.070000000007,515.740000000107,0.0300000000279397,"Chrome","vanilla"
"7",100,550,99.9472727272727,0.38992528612933,99,105,0,"Firefox","minno"
"8",100,550,100.18420909091,0.2747936167268,99.9049999999697,102.260000000009,0.100000000034925,"Firefox","vanilla"
"9",500,550,499.943636363636,0.412139840612266,499,502,0,"Firefox","minno"
"10",500,550,505.764327272725,7.4420102572259,499.910000000033,521.25,15.5037499999598,"Firefox","vanilla"
"11",100,550,115.24,2.72755620318447,99,121,1,"Edge","minno"
"12",100,550,100.000946745587,7.7273147077368,89.1349994445918,123.900018836081,15.6397157194442,"Edge","vanilla"
"13",500,550,513.821818181818,5.20692725183117,498,526,1,"Edge","minno"
"14",500,550,500.021489752756,7.06509899687931,484.249803186744,515.769817772671,0.0600703213567613,"Edge","vanilla"
"15",100,550,103.687272727273,7.40700831292275,98,121,16,"IE","minno"
"16",100,550,100.013643015554,3.31024123849893,83.2496172403917,116.690372810292,0.0188663069711765,"IE","vanilla"
"17",500,550,503.283636363636,7.68526524403493,497,519,17,"IE","minno"
"18",500,550,500.008639808145,6.28096125986228,483.100618694152,516.537450072181,0.0417322711145971,"IE","vanilla"
